raw_vars,new_var,label,operation,step,val_labs,new_vals,if_condition,if_true_return,else_return,code,
stai_worried,NA,I am worried.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_confused,NA,I feel confused.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_steady,NA,I feel steady.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_pleasant,NA,I feel pleasant.,raw,0,"not at all=1, somewhat=2, moderately so=3, very much so=4",NA,NA,NA,NA,NA,
stai_pleasant2,NA,I feel pleasant.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_restless,NA,I feel nervous and restless.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_satisfy,NA,I feel satisfied with myself.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_other_happy,NA,I wish I could be as happy as others seem to be.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_failure,NA,I feel like a failure.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_rested,NA,I feel rested.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_calm_collected,NA,"I am calm, cool, and collected.",raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_difficulty,NA,I feel that difficulties are piling up so that I cannot overcome them.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_worry,NA,I worry too much over something that really doesn't matter.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_happy,NA,I am happy.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_disturbing,NA,I have disturbing thoughts.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_lack_confidence,NA,I lack self confidence.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_secure2,NA,I feel secure.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_decision,NA,I make decision easily.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_inadequate,NA,I feel inadequate.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_content2,NA,I am content.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_bother,NA,Some unimportant thoughts runs through my mind and bothers me.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_disappoint,NA,I take disappointments so keenly that I can't put them out of my mind.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_steady2,NA,I am a steady person.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
stai_tension_turmoil,NA,I get in a state of tension or turmoil as I think over my recent concerns and interests.,raw,0,"almost never=1, sometime=2, often=3, almost always=4",NA,NA,NA,NA,NA,
"stai_calm,stai_secure,stai_tense,stai_strained,stai_at_ease,stai_upset,stai_misfortune,stai_satisfied,stai_frightened,stai_comfortable,stai_self_confident,stai_nervous,stai_jittery,stai_indecisive,stai_relaxed,stai_content,stai_worried,stai_confused,stai_steady,stai_pleasant,stai_pleasant2,stai_restless,stai_satisfy,stai_other_happy,stai_failure,stai_rested,stai_calm_collected,stai_difficulty,stai_worry,stai_happy,stai_disturbing,stai_lack_confidence,stai_secure2,stai_decision,stai_inadequate,stai_content2,stai_bother,stai_disappoint,stai_steady2,stai_tension_turmoil",NA,NA,select,1,NA,NA,NA,NA,NA,NA,
stai_calm,stai_calm,I feel calm.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_secure,stai_secure,I feel secure.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_tense,stai_tense,I am tense.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_strained,stai_strained,I feel strained.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_at_ease,stai_at_ease,I feel at ease.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_upset,stai_upset,I feel upset.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_misfortune,stai_worrying_over_misfortunes,I am presently worrying over possible misfortunes.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_satisfied,stai_satisfied,I feel satisfied.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_frightened,stai_frightened,I feel frightened.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_comfortable,stai_comfortable,I feel comfortable.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_self_confident,stai_self_confident,I feel self confident.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_nervous,stai_nervous,I feel nervous.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_jittery,stai_jittery,I am jittery.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_indecisive,stai_indecisive,I feel indecisive.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_relaxed,stai_relaxed,I am relaxed.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_content,stai_content,I feel content.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_worried,stai_worried,I am worried.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_confused,stai_confused,I feel confused.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_steady,stai_steady,I feel steady.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_pleasant,stai_pleasant,I feel pleasant.,recode,2,"not at all=0, somewhat=1, moderately so=2, very much so=3","1=0, 2=1, 3=2, 4=3",NA,NA,NA,NA,
stai_pleasant2,stai_pleasant_2,I feel pleasant.,rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_restless,stai_nervous_restless,I feel nervous and restless.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_satisfy,stai_satisfied_with_myself,I feel satisfied with myself.,rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_other_happy,stai_happy_as_others,I wish I could be as happy as others seem to be.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_failure,stai_feel_like_failure,I feel like a failure.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_rested,stai_feel_rested,I feel rested.,rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_calm_collected,stai_calm_cool_collected,"I am calm, cool, and collected.",rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_difficulty,stai_difficulties_piling_up,I feel that difficulties are piling up so that I cannot overcome them.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_worry,stai_worry_too_much,I worry too much over something that really doesn't matter.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_happy,stai_am_happy,I am happy.,rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_disturbing,stai_disturbing_thoughts,I have disturbing thoughts.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_lack_confidence,stai_lack_self_confidence,I lack self confidence.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_secure2,stai_feel_secure,I feel secure.,rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_decision,stai_make_decisions_easily,I make decision easily.,rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_inadequate,stai_feel_inadequate,I feel inadequate.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_content2,stai_am_content,I am content.,rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_bother,stai_unimportant_thought_bother,Some unimportant thoughts runs through my mind and bothers me.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_disappoint,stai_disappointment_keenly,I take disappointments so keenly that I can't put them out of my mind.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
stai_steady2,stai_steady_person,I am a steady person.,rename,2,"almost never=0, sometime=1, often=2, almost always=3","4=0, 3=1, 2=2, 1=3",NA,NA,NA,NA,
stai_tension_turmoil,stai_state_tension_turmoil,I get in a state of tension or turmoil as I think over my recent concerns and interests.,rename,2,"almost never=0, sometime=1, often=2, almost always=3",NA,NA,NA,NA,NA,
"stai_calm,stai_secure,stai_tense,stai_strained,stai_at_ease,stai_upset,stai_misfortune,stai_satisfied,stai_frightened,stai_comfortable,stai_self_confident,stai_nervous,stai_jittery,stai_indecisive,stai_relaxed,stai_content,stai_worried,stai_confused,stai_steady,stai_pleasant,stai_pleasant2,stai_restless,stai_satisfy,stai_other_happy,stai_failure,stai_rested,stai_calm_collected,stai_difficulty,stai_worry,stai_happy,stai_disturbing,stai_lack_confidence,stai_secure2,stai_decision,stai_inadequate,stai_content2,stai_bother,stai_disappoint,stai_steady2,stai_tension_turmoil",stai_sum,Sum of STAI,sum,3,NA,NA,NA,NA,NA,NA,
"stai_secure,stai_tense,stai_strained,stai_at_ease,stai_upset,stai_worrying_over_misfortunes,stai_satisfied,stai_frightened,stai_comfortable,stai_self_confident,stai_nervous,stai_jittery,stai_indecisive,stai_relaxed,stai_content,stai_worried,stai_confused,stai_steady,stai_pleasant,stai_pleasant_2,stai_nervous_restless,stai_satisfied_with_myself,stai_happy_as_others,stai_feel_like_failure,stai_feel_rested,stai_calm_cool_collected,stai_difficulties_piling_up,stai_worry_too_much,stai_am_happy,stai_disturbing_thoughts,stai_lack_self_confidence,stai_feel_secure,stai_make_decisions_easily,stai_feel_inadequate,stai_am_content,stai_unimportant_thought_bother,stai_disappointment_keenly,stai_steady_person,stai_state_tension_turmoil,stai_sum",NA,NA,select,4,NA,NA,NA,NA,NA,NA,
